;index;song;year;artist;genre;lyrics;spotify_streams;deezer_rate;youtube_views
100565;167255;the-grande-finale;2008;the-d-o-c;Hip-Hop;Check this out we've come to the last and final record This is Dr Dre in full effect and we gonna kick it Off a little somethis like this we got my mella yella boy On the drums we got Stan the guitar man dropping the rhythm We got LA Dre on the keyboard and I want the whole posse In this muthafucka to rocl on this funky ass beat we're gonna drop Aight so Ice Cube you the early bird on this muthafucka run it Picture a nigga that's raw Amplify his ass and what you see is what's on Muthafuckas I slaughter blow em out the water Word to me fuck the father My melody is deadly as a pin in a handgrenade 5 seconds before you get played You can't throw me I guess you'll blow up Ever see a sucker scatter it'll make ya throw up Then I take advantage you can't manage To get up all you can do is sit up I get lit up Hit up Ice Cube tearing shit up Like a dude you can bet on collide like a head on Collision stutter steppin is an incision Of a nigga saying exactly what I vision Because I'm gone you think I left you all But I stay in yo ass like cholesterol When I blast some solid ass alcatraz And if you escape you better swim fast 'Cause I'll catch ya physically and mentally And the capital punishment's the penalty Sitting in the electric chair grab a hold Pull the switch yo body twitch your eye's explode Out your skull cause being dull on a flow Is an N O niggas didn't know that I can go Off and show off to throw off the law Turn take 10 paces then draw What's left is a muthafucka dead in the alley Ice Cube is the shit on the grand finale Yea yea that was funky but we need The muthafucking villian to speak so kick it The grand finale yo it's my turn to bust So let weak muthafuckas turn to dust If you're weak it ain't my fault Just take a kick in the ass and get turn into a pillar of salt And niggas that's biting just to taste me I make the punk muthafuckas buckle up for safety And on the dope they caught from the flash And swing like a bit when he's caught in a whiplash Giving him pain cause I'm urgent Rearrange the muthafucking face like a surgeon It ain't no excuse for the torture delivering Don't say that I scare you I can tell cause your shivering Lyrics label wit an X and not a G I say fuck the police yo so now they after me I'm wanted by the law so I stay low Representing the pimp bitches making my dough In a different stage I must of went on a rampage Me and the D O C are always hitting the front page For what for stealing and stepping up to the sheriff And when I enter the party niggas shit in a For what Maybe cause I'm Ren And when they clean up shit yo they do it again So fuck it sit back cool and relax While Eazy busts the facts kicking the grande finale Yea y'all know what time it is Easy muthafucking E is in the house doing damage The name is Eazy for me to come off like the inforcer' Mass murder muthafukas in a course of An everyday situation where I would stalk by Fuck the car I do a muthafuking walk by Eazy E and the D O to the C And run house and there won't be no disagreeing 'Cause if there is some you feeling staticy Then I'm arrested assault and battery For what Never outdone only outdoing Loving the bitches and the hoes boo hooing Why cause they're addicted to my dick The pleasure of pain the wing ding and flipped it Yea And never forget when done in bed by Eazy the name of a Compton hard head Cool but local like loc never broke 'Cause they're paid to be Ruthless this is why I do this I don't give a fuck about fame I rather deal wit a number than a muthafuking name Word Get me paid and then rap 'Cause all the other bullshit money ain't jack Eazy but not that Eazy to deal wit Especially if you're poppin bullshit Put the E A Z Y and to the E Expression of thought on the muthafuking grand finale Yea that shit was funky last but not leas Is the muthafuking D O C this is your album So that means you definitely got to get funky so run it Swinging singing a brand new rap On a rhythm concocted by my homie in the back And if it makes you giggle it must be kinda funny But to me it's kinda cool I'm making money Tell em why Tripping up the man wit the movement Proving if you're grooving then it cool when he be doing it Taking a second for me to blow your mind 'Cause I'm the diggy diggy D O C and I would've been down wit rock But I was smart the D O to the C now on the formula It's rough I mean it's funky enuff for me And you can have a listen after that and this And D O N T M O V E wit out permission From the D O to the C I'm just better than The normal man and I'll be dumb if a sucker can Ever compete wit the elite Much less beat it's like dancing wit 2 left feet Never smile when the D O C is in the room Or I'm a send ya ass to the temple of doom I got raw when I came to Cali Now wit NWA on the muthafuking grand finale ;1265763;1,9;593000
90822;151720;years-ago;2006;alice-cooper;Rock;Here I go again Up and down alone All my friends went home Years ago All my toys are broken and So am I inside mom The carnival has closed Years ago I'm a little boy No I'm a great big man No let's be a little boy For a little while longer Maybe an hour No Steven We have to go back now Isn't that our mom calling Steven Steven Steven come home Mother Steven come home ;459409;1,74;229000
216295;359481;sentimental-journey;2016;the-ames-brothers;Pop;"Gonna take a sentimental journey Gonna set my heart at ease Gonna make a sentimental journey To renew old memories Got my bag got my reservation Spent each dime I could afford Like a child in wild anticipation Long to hear that ""All aboard"" Seven that's the time we leave at seven I'll be waitin up for heaven Countin every mile of railroad track That takes me back Never thought my heart could be so yearny' Why did I decide to roam Gotta take that sentimental journey Sentimental journey home ";9279;1;39000
50692;86214;lunatic;2007;the-bruisers;Rock; Friday night I crashed your party Saturday I said I'm sorry Sunday came and trashed me out again I was only having fun wasn't hurting anyone And we all enjoyed the weekend for a change I've been stranded in the combat zone I walked through Bedford sty alone Even rode my motorcycle in the rain And you told me not to drive but I made it home alive so you said that only proves that I'm insane You may be right I may be crazy But it just may be a lunatic you're looking for Turn out the light Don't try to save me You may be wrong for all I know you may be right Remember how I found you there alone in your electric chair I told you dirty jokes until you smiled You were lonely for a man I said take me as I am Cause you might enjoy Some madness for a while Now think of all the years you tried To find some one to satisfy you I might be as crazy as you say If I'm crazy then it's true That it's all because of you And you wouldn't want me any other way;23209;;15000
157233;261599;little-wing;1975;gil-evans;Jazz;Well she's walking through the clouds With a circus mind That's running wild Butterflies and zebras and moonbeams And fairy tales That's all she ever thinks about Riding the wind When I'm sad she comes to me With a thousand smiles She gives to me free It's alright she says It's alright Take anything you want from me Anything Fly on little wing;3471;0,88;99000
1560;2768;i-want-to-hold-your-hand;2014;grant-green;Other;Oh yeah I tell you somethin' I think you'll understand When I say that somethin' I want to hold your hand I want to hold your hand I want to hold your hand Oh please say to me You'll let me be your man And please say to me You'll let me hold your hand Now let me hold your hand I want to hold your hand And when I touch you I feel happy inside It's such a feelin that my love I can't hide I can't hide I can't hide Yeah you got that somethin' I think you'll understand When I say that somethin' I want to hold your hand I want to hold your hand I want to hold your hand And when I touch you I feel happy inside It's such a feelin that my love I can't hide I can't hide I can't hide Yeah you got that somethin' I think you'll understand When I feel that somethin' I want to hold your hand I want to hold your hand I want to hold your hand I want to hold your hand;75339;0,22;9800
210245;349097;the-first-single;2003;format;Rock;I can't stand to think about a heart so big it hurts like hell Oh my God I gave my best but for three more years to end like this Well do you want to fall apart I can't stop if you can't start Do you want to fall apart I could if you can try to fix what I've undone Cause I hate what I've become Chorus You know me oh you think you do you just don't seem to see I've been waiting all this time to be something that I can't define So let's cause a scene Clap our hands and stomp our feet Or something yeah something I've just gotta get myself over me I could stand to do without all the people I have left behind What's the point in going around when its straight line baby A straight line down So let's make a list of who we need and it's not much if any thing Lets make a list of who we need and well throw it away cause we don't need anyone no we don't need anyone And I hate what I've become You know the night life is just not for me cause all you really need are a few good friends I don't want to go out and be on my own you know they started something I can't stand You leave for the city well count me out Cause all this time is wasted on everything I've done ;1777683;2,74;528000
62374;105357;daydreaming;2006;cam-ron;Hip-Hop;Day dreaming and I'm thinking of you Look at my mind Floating away I know f kin with a crook is whack I lied cheated still took me back What I do turn around ask you to cook me crack Boost my work with a jerk and tell the truth it hurts Cause you even ask me to come through to church What I do act second rate I stole ten dollars out of the collection plate But I'm ready to change You got my heart plus you smart And the sex is great And you hate rap I like that girl I argue with Keisha I aint like that girl You jumped right out the car to fight that girl You be that you aint have to bite that girl And my baby got the best thighs And my whip she aint never got to test drive Copped here up at five You paid attention when no one acknowledge me This is my public apology Holla B Hey baby lets get away lets go somewhere ah Baby can we We can get the drop top or come through on the bike We could go where you want we could do what you like tonight Hey baby lets get away lets go somewhere ah Baby can we where you wanna go Where Italy what Sicily tell me girl Disney world He's the kind of guy that would say he baby lets get away Lets go some place oh Where I don't care He's the kind of guy that will give it everything and trust your heart Share all of your love till death do you part I wanna be what he wants when he wants it Whenever he needs it When your lonesome and feeling love start I'll be there to feed it Loving him a little bit more each day Fears are at hold when I hear him say You helped me work when we was twelve and a half You said Cam what the f k dog we twelve and a half That house cost millions twelve and a half But I still got them twelve in the stash You can't even get mad Say what the hell just laugh Standin there beautiful like what I'm gon do with you You wanted me to go to school and just play ball What I do go to school with that ball Here come the here come the Yeah I dealt that I'm a hustla though I can't help that You was there when I flipped my first birds Now we gon see my son take his first words And um absurd I aint wanna be no singer ma I just wanted eight carrots on your finger ma Since were young you thug me I thugged you You hug me I hugged you You love me I love you I wanna be what he wants when he wants it Whenever he needs it When your lonesome and feeling love start I'll be there to feed it Loving him a little bit more each day Fears are at hold when I hear him say repeat 2X Day dreaming and I'm thinking of you 14X Look at my mind Floating away You got me dreaming dreaming of you yeah day dreaming;1221648;1,76;1800000
68765;116435;let-it-loose;2006;gloria-estefan;Pop;Lookin out for trouble looking to succeed Tut tu ru ru tut tut tu ru ru Set yourself free Baby loosen up your tie Papu mao mao papu mao mao mao Ooh let it loose Ooh let it loose Breakdown in the tempo Cold sweat constantly Play the radio loud and get lost in the beat Come on baby let it slide Papu mao mao papu mao mao mao Ooh let it loose Ooh let it loose Rock n'roll in danger from machinery Tut tu ru ru tut tut tu ru ru Sing it with me Tut tu ru ru tut tut tu ru ru Tut tu ru ru tut tut tu ru ru hey Tut tu ru ru tut tut tu ru ru Tut tu ru ru tut tut tu ru ru One more time with lots o soul Almost till ya lose control;240061;1,14;11000
159065;264934;ain-t-no-grave;2014;david-crowder;Rock;Oh my Lord it's a winding road It's all bent from a heavy load Feel the weight beneath the ground Ain't no grave gonna hold me down Oh my Lord I can barely see Waiting for you and your reckoning Angels humming can you hear the sound Ain't no grave gonna hold me down Ain't no grave gonna hold me down I will rise I will rise I will rise I will rise Troubles come for everyone Death has no respect for love Roll that stone I won't be found Ain't no grave gonna hold me down Lord I'm crooked from head to toe Got dirty hands and a dirty soul I was lost but now I'm found Ain't no grave gonna hold me down Ain't no grave gonna hold me down I will rise I will rise I will rise I will rise Troubles come for everyone Death has no respect for love Roll that stone I won't be found Ain't no grave gonna hold me down Feel the weight beneath the ground Ain't no grave gonna hold me down I will rise I will rise I will rise I will rise Troubles come for everyone Death has no respect for love Roll that stone I won't be found Ain't no grave gonna hold me down Ain't no grave gonna hold me down Ain't no grave gonna hold me down ;1777374;;1000000
30205;51710;vorago-spell-182;2007;absu;Metal;"I am not limited to this Underworld I am settled in this Barrenness I am kept in this Emptiness I am not restricted to this Underworld 182 I travel Earth in the train of You I offer Earth to reach the field of You I walk Earth to see the mark of You I proffer Earth to feel the lure of You 182 FOREKNOWLEDGE Hail to you prime mover of the Deep Sun of the heart possessor of Voids The awe of whom created This The thirst of this revered Abyss 182 ADAEOT BEINGS BY COMINGS THOUGHTS MONADS ATOMS WAVES APERTURES GULFS CHASMS RESULTS AMONGST RESULTS I have made for myself a space within Time I mutely descend to the cavity of my Cell I am the furtive seeker ensnared Underneath Vorago My gray wand is your Bout Your grandeur is my Time My sunray si your Beam Your splendor is my Turn My circlet is your Crown Your allure is my Shape My pattern is your Kind Your extent is my Scope My seat is your Center Your merit is my Dint My throne is your Rule Your misdeed is my Sin My void is your Stone Your retort is my Key My stone is Yourself Your result is my Fate VORAGO SEEING THROUGH ILLUSIONS NAUGHT MANY TWO SEEING THROUGH ILLUSIONS ONE ALL EIGHT ""O you abyssic essence who is before me and who follows after my heart usher me in at your usherings for you are the one who guides me who escorts my anima under the Earth as I am a soul who is stark in Vorago """;36204;0,38;10000
181249;302262;avinu-malkeinu;1997;barbra-streisand;Pop;Hear our prayer We have sinned before Thee Have compassion upon us and upon our children Help us bring an end to pestilence war and famine Cause all hate and oppression to vanish from the earth Inscribe us for blessing in the Book Of Life Let the new year be a good year for us Avinu malkeinu sh'ma kolenu Avinu malkeinu chatanu l'faneycha Avinu malkeinu alkenu chamol aleynu V'al olaleynu v'tapenu Avinu malkeinu Kaleh dever v'cherev v'raav mealeynu Avinu malkeinu kalehchol tsar Umastin mealeynu Avinu malkeinu Avinu malkeinu Kotvenu b'sefer chayim tovim Avinu malkeinu chadesh aleynu Chadesh a leynu shanah tovah Sh'ma kolenu Sh'ma kolenu Sh'ma kolenu Avinu malkeinu Avinu malkeinu Chadesh a leynu Shanah tovah Avinu malkeinu Sh'ma kolenu Sh'ma kolenu Sh'ma kolenu Sh'ma kolenu;574141;2,87;10000000
83066;138944;but-i-do;2007;buck-owens;Country;I didn't think that I'd miss you but I do I didn't think I'd feel lonely but I do I didn't think that everyday would be so long while you're away I didn't think that I'd love you but I do Do you long for someone's arms like I do do you wish that you were here like I do Do you think our love would last if we'd forget about the past Do I want our love to live yes I do Do you wish that God would bind us like I do Do you wish that joy would find us like I do If you wish that you could spend life with me until the end Then you'd feel our love like I do I didn't think that I'd miss you ;22721;1;31000
711;1368;caroline;2009;brandi-carlile;Country;Hello I'm looking for a friend I lost some time ago Your mother says she wants her girl back home Sometimes you think you've found yourself you really only lost yourself Or maybe you're afraid to be alone But if I could see behind blue eyes At all the things that dusty windows tried to hide Then I could see behind the walls of Caroline And behind blue eyes I heard that you're in town again you surely can depend on me To keep you out of the sun Down and out and out and then I'm climbing up the walls again We're standing in line to be the one But if I could see behind blue eyes And all the things that dusty windows tried to hide Then I could see behind the walls of Caroline And behind blue eyes I've faced it I'm wasted Don't fly away before your time It's phony You owe me Come on don't fly away before your time Yeah But if I could see behind blue eyes At all the things that dusty windows tried to hide Then I could see behind the walls of Caroline And behind blue eyes;1325847;1,46;147000
25492;43669;after-you-ve-gone-trio;2014;benny-goodman;Jazz;Now won't you listen honey while I say How could you tell me that you're goin away Don't say that we must part Don't break your baby's heart You know I've loved you for these many years Loved you night and day Oh honey baby can't you see my tears Listen while I say After you've gone and left me cryin' After you've gone there's no denyin' You'll feel blue you'll feel sad You'll miss the dearest pal you've ever had There'll come a time now don't forget it There'll come a time when you'll regret it Someday when you grow lonely Your heart will break like mine and you'll want me only After you've gone after you've gone away After you've gone and left me cryin' After you've gone there's no denyin' You're gonna feel blue and you're gonna feel sad You're gonna feel bad And you'll miss and you'll miss And you'll miss the bestest pal you ever had There'll come a time now don't forget it There'll come a time when you'll regret it But baby think what you're doin' I'm gonna haunt you so I'm gonna taunt you so It's gonna drive you to ruin After you've gone after you've gone away ;904993;1,15;257000
41127;70115;barney-and-me;2007;boo-radleys;Pop;Now it's getting colder my hands chilled to the bone I watch you breath and trace it's steps as it mingles with my own The lake is almost frozen the grass is silver air the wind is high in the blue sky I wish that I could care I recall when we were younger we shared the streets of home spoke of our dreams and soaring schemes and places we would go if I stay much longer I'll never leave again I have to move I cannot stay believe the voice that tells me leave it all behind me I know that I know that I am wrong I'll never leave now it has been so long and now I'm getting older I still can't find the words to empathise with what's inside express the way I feel and now I'm getting older It's easier to hide to run away day after day betray the voice that tells me leave it all behind me I know that I know that I am wrong I'll never leave now it has been so long;149513;1,86;31000
189185;314027;we-are-cheerleaders;2006;bring-it-on;Pop;I'm sexy I'm cute I'm popular to boot I'm bitchin great hair the boys all love to stare I'm wanted I'm hot I'm everything your not I'm pretty I'm cool I dominate the school Who am I Just guess Guys wanna touch my chest I'm rockin I smile and many think I'm vile I'm flying I jump You can look but don't you hump I major I roar I swear I'm not a whore We cheer and we lead We act like we're on speed hate us coz we're beautiful but we don't like you either we're cheerleaders we are cheerleaders Roll Call With me Big Red I'm w w Whitney c c c courtney roar dude it's Darcy I'm Big Bad Carver yeah Just call me Casey I'm still Big Red I sizzle I scorch But now I pass the tourch The ballouts are in and one girl has to win She's perky she's fun and now she's number one Kick it Torrance T T T Torrance I'm strong and I'm loud I'm gonna make you proud I'm T T Torrance Your captain Torrance Let's go Toros We are the Toros The mighty mighty Toros We're so terrific we must be Toros;;;4000000
162589;270588;the-crossroads-bar;2007;bill-monroe;Country;I walked out tonight for a ramble round I didn't mean to stay just to view the town When I saw her smiling from afar As she walked into that crossroads bar Well I walked inside and sat me down Ordered sweet red wine and I drank it down She came and set beside me there With a dark brown eyes and the red red hair I told her that I loved her true Anything you want I'll surely do Said a man like you don't get too far With a girl like me at the crossroads bar I like smoky light and a lonesome song And I won't do right if I can do wrong You want the moon to burn behind the darkest star And you won't find love at the crossroads bar;;;
18559;32453;as-you-are;2007;the-bears;Rock;as you are i once was as i am you will be all over the world are people like you and me a bunch of sour apples on the old family tree and billions of kids i'm afraid they're all yours and mine but all we have in common is the way that we whine as you are i once was as i am you will be they're mad at the world but the world doesn't care who swims in her water who breathes all her air mother earth didn't burn when the dinosaurs all left home but they left a little note written down with their bones as you are i once was as i am you will be farewell to modern warfare hello eternity i've got some good news bad news at the end i'm you and you are me don't be a sore loser you're not even lost so crawl out of your bunker climb down from your cross 'cause the answer is love to the question we're all too stupid to ask;1000;0,27;
85573;143254;sour-patch-kids;2009;asher-roth;Hip-Hop;Use the eyes of the owl The sour patch kids got me out of wack And out of gas The hour glass spills as I'm left on the vasey without a vest Lost my train of thought My brain can not be bought Trained to trainicle auberate with authority The chay in may To the leaders I am scary I pose a threat to those who get to close for comfort And wont conform Come forward Sworn on my unborn son if there is one more war I will come for Poor get poor the rich just get richer Get the just You see the big picture China's ditched from a shake on the Richter Mother earth strucks and we all get evicted This some sick shit Slightly twisted Information from our nations capital Capital is all the captain calls for They just want more and more And more and more And more and more And more and more And more and more Take me away Take me away from here Take me away I don't here you My people crying and be dining They be dining in the hours Drinking wine with their wives like everything is fine Denying that they fighting for the their lives Every night to survive since the beginning of time Cant believe the evil that feeds off this so called American dream Lies in the seat make all the Americans seem like blood sucking money hungry fiends But money doesn't mean A damn thing to me I just want to be I want to be free But unfortunately a fortune is what you need Cause the fortune 500s run the country Its one company If your not a company Would you mind grabbing me a cup of tea If we go hungry in our own country I wonder whats its like living in Hungry Yeah it isn't funny but its coming Its about to get ugly Streets turn to a game of rugby We're buying bubbly and making rate 100s Is it just me or is that some dumb shit Yo what the fuck Hoe comes Little dumb shit Lets go I know you can think of something Donate your dollars Raise a dollar Help a mother Save a father Cause poverty is probably our biggest problem And it ain't gonna stop with Obama To save the world we must start at the bottom ;1231985;1,46;22000
25549;43743;anarchy-in-tokyo;2007;30-seconds-to-mars;Rock;Here the moment of truth It comes in the air It's always the same it's so insane You cover your eyes you fall inside before it begins it's over Crash Crash out of control Lose yourself Go and even the score Crash Crash out of control Try and start a riot now you're beggin for more Anarchy in Tokyo They say the city is safe the keepers of faith the bullet is safe for one and day Eclipsed by the one Don't bother to run The target is on your back You're done Crash Crash out of control Feed the source come join in the war Crash Crash out of control Take it break it a million or more We're outta control Crash Crash Out of control Feed the source come join in the war Crash Crash out of control Take it break it A million or more Anarchy in Tokyo Anarchy in Tokyo ;;;45000
188707;313311;square-dance;2006;eminem;Hip-Hop;People It feels so good to be back Ladies and Gentlemen introducing the new and improved you know who Never been the type to bend or budge The wrong button to push No friend of Bush I'm the centerpiece you're a Maltese I'm a pit bull off his leash All this peace talk can cease All these people I had to leave in limbo I'm back now I've come to release this info I'll be brief and let me just keep shit simple Can a bitch don't want no beef with Slim No Not even on my radar so won't you please jump off my dick Lay off and stay off And follow me as I put these crayons to chaos from seance to seance Aw a aw sh a aw C'mon now let's all get on down Let's do si do now we gon have a good ol time Don't be scared cus there ain't nothin to worry bout Let your hair down and square dance with me C'mon now let's all get on down Let's do si do now we gon have a good ol time Don't be scared cus there ain't nothin to worry bout Let your hair down and square dance with me Let your hair down to the track yeah kick on back Boo The boogie monster of rap yeah the man's back With a plan to ambush this Bush administration Mush the Senate's face in push this generation Of kids to stand and fight for the right to say something you might not like This white hot light That I'm under no wonder I look so sunburnt Oh no I won't leave no stone unturned Oh no I won't leave Won't go nowhere do si do oh yo ho hello there Oh yeah don't think I won't go there go to Beirut and do a show there Yeah you laugh till your muthafuckin ass gets drafted While you're at band camp thinkin the crap can't happen Till you fuck around get an anthrax napkin Inside a package wrapped in saran wrap wrapping Open the plastic and then you stand back gasping Fuckin assassins hijackin Amtracks crashin' All this terror America demands action Next thing you know you've got Uncle Sam's ass askin' To join the army or what you'll do for their Navy You just a baby gettin recruited at eighteen You're on a plane now eatin their food and their baked beans I'm twenty eight they're gonna take you fore they take me Crazy insane or insane crazy When I say Hussein you say Shady My views ain't changed still inhumane wait Arraigned two days late the date's today hang me C'mon now let's all get on down Let's do si do now we gon have a good ol time Don't be scared cus there ain't nothin to worry bout Let your hair down and square dance with me C'mon now let's all get on down Let's do si do now we gon have a good ol time Don't be scared cus there ain't nothin to worry bout Let your hair down and square dance with me Nothin moves me more than a groove that soothes me Nothin soothes me more than a groove that boosts me Nothin boosts me more or suits me beautifully There's nothin you can do to me stab me shoot me Psychotic hypnotic product I got it the antibiotic Ain't nobody hotter and so on And yada yada god I talk a lotta hem de lay la la la Oochie walla um da dah da dah da but you gotta gotta Keep movin there's more music to make Keep makin new shit Produce hits to break The monotony what's gotten into me Drugs rock and Hennessey thug like I'm Pac on my enemies On your knees got you under siege somebody you would give a lung to be Hun ga ry like a fuckin younger me fuck the fee I can get you jumped for free Yeah buddy laugh it's funny I have the money to have you killed by somebody who has nothing I'm past bluffing pass the K Y Let's get ready for some intense serious ass fucking C'mon now let's all get on down Let's do si do now we gon have a good ol time Don't be scared cus there ain't nothin to worry bout Let your hair down and square dance with me C'mon now let's all get on down Let's do si do now we gon have a good ol time Don't be scared cus there ain't nothin to worry bout Let your hair down and square dance with me Dr Dre wants to square dance with me Nasty Nas wants to square dance with me X to the Z wants to square dance with me Busta Rhymes wants to square dance with me Cana bitch won't square dance with me Fan a bitch won't square dance with me Canada bis don't want no parts of me Dirty Dozen wants to square dance with you Yee Haw ;42962380;5,92;7400000
